candidate,office,district,party,county,votes,winner
Dick Cheney,U.S. House,1,Republican,Albany,6455,1
Ted Hommel,U.S House,1,Democrat,Albany,3725,
Dick Cheney,U.S House,1,Republican,Big Horn,3444,
Ted Hommel,U.S House,1,Democrat,Big Horn,906,
Dick Cheney,U.S House,1,Republican,Campbell,6008,
Ted Hommel,U.S House,1,Democrat,Campbell,1169,
Dick Cheney,U.S House,1,Republican,Carbon,4333,
Ted Hommel,U.S House,1,Democrat,Carbon,2420,
Dick Cheney,U.S House,1,Republican,Converse,3124,
Ted Hommel,U.S House,1,Democrat,Converse,901,
Dick Cheney,U.S House,1,Republican,Crook,1958,
Ted Hommel,U.S House,1,Democrat,Crook,397,
Dick Cheney,U.S House,1,Republican,Fremont,7948,
Ted Hommel,U.S House,1,Democrat,Fremont,2832,
Dick Cheney,U.S House,1,Republican,Goshen,3444,
Ted Hommel,U.S House,1,Democrat,Goshen,1434,
Dick Cheney,U.S House,1,Republican,Hot Springs,1715,
Ted Hommel,U.S House,1,Democrat,Hot Springs,474,
Dick Cheney,U.S House,1,Republican,Johnson,2403,
Ted Hommel,U.S House,1,Democrat,Johnson,433,
Dick Cheney,U.S House,1,Republican,Laramie,14598,
Ted Hommel,U.S House,1,Democrat,Laramie,10263,
Dick Cheney,U.S House,1,Republican,Lincoln,3306,
Ted Hommel,U.S House,1,Democrat,Lincoln,1373,
Dick Cheney,U.S House,1,Republican,Natrona,18678,
Ted Hommel,U.S House,1,Democrat,Natrona,6719,
Dick Cheney,U.S House,1,Republican,Niobrara,1207,
Ted Hommel,U.S House,1,Democrat,Niobrara,280,
Dick Cheney,U.S House,1,Republican,Park,6019,
Ted Hommel,U.S House,1,Democrat,Park,1441,
Dick Cheney,U.S House,1,Republican,Platte,2686,
Ted Hommel,U.S House,1,Democrat,Platte,1259,
Dick Cheney,U.S House,1,Republican,Sheridan,6411,
Ted Hommel,U.S House,1,Democrat,Sheridan,2702,
Dick Cheney,U.S House,1,Republican,Sublette,1837,
Ted Hommel,U.S House,1,Democrat,Sublette,395,
Dick Cheney,U.S House,1,Republican,Sweetwater,5837,
Ted Hommel,U.S House,1,Democrat,Sweetwater,3523,
Dick Cheney,U.S House,1,Republican,Teton,3452,
Ted Hommel,U.S House,1,Democrat,Teton,811,
Dick Cheney,U.S House,1,Republican,Uinta,3058,
Ted Hommel,U.S House,1,Democrat,Uinta,1359,
Dick Cheney,U.S House,1,Republican,Washakie,3015,
Ted Hommel,U.S House,1,Democrat,Washakie,754,
Dick Cheney,U.S House,1,Republican,Weston,2300,
Ted Hommel,U.S House,1,Democrat,Weston,471,
