candidate,office,district,party,county,votes,winner
Dick Cheney,U.S. House,1,Republican,Albany,4690,1
Bill Bagley,U.S House,1,Democrat,Albany,4597,
Dick Cheney,U.S House,1,Republican,Big Horn,2402,
Bill Bagley,U.S House,1,Democrat,Big Horn,1420,
Dick Cheney,U.S House,1,Republican,Campbell,3286,
Bill Bagley,U.S House,1,Democrat,Campbell,1347,
Dick Cheney,U.S House,1,Republican,Carbon,2669,
Bill Bagley,U.S House,1,Democrat,Carbon,2315,
Dick Cheney,U.S House,1,Republican,Converse,2140,
Bill Bagley,U.S House,1,Democrat,Converse,860,
Dick Cheney,U.S House,1,Republican,Crook,1382,
Bill Bagley,U.S House,1,Democrat,Crook,493,
Dick Cheney,U.S House,1,Republican,Fremont,5071,
Bill Bagley,U.S House,1,Democrat,Fremont,3687,
Dick Cheney,U.S House,1,Republican,Goshen,2883,
Bill Bagley,U.S House,1,Democrat,Goshen,1698,
Dick Cheney,U.S House,1,Republican,Hot Springs,1341,
Bill Bagley,U.S House,1,Democrat,Hot Springs,744,
Dick Cheney,U.S House,1,Republican,Johnson,1899,
Bill Bagley,U.S House,1,Democrat,Johnson,602,
Dick Cheney,U.S House,1,Republican,Laramie,10787,
Bill Bagley,U.S House,1,Democrat,Laramie,9940,
Dick Cheney,U.S House,1,Republican,Lincoln,1302,
Bill Bagley,U.S House,1,Democrat,Lincoln,2312,
Dick Cheney,U.S House,1,Republican,Natrona,12543,
Bill Bagley,U.S House,1,Democrat,Natrona,6501,
Dick Cheney,U.S House,1,Republican,Niobrara,978,
Bill Bagley,U.S House,1,Democrat,Niobrara,339,
Dick Cheney,U.S House,1,Republican,Park,3835,
Bill Bagley,U.S House,1,Democrat,Park,1615,
Dick Cheney,U.S House,1,Republican,Platte,1740,
Bill Bagley,U.S House,1,Democrat,Platte,1536,
Dick Cheney,U.S House,1,Republican,Sheridan,4264,
Bill Bagley,U.S House,1,Democrat,Sheridan,3153,
Dick Cheney,U.S House,1,Republican,Sublette,1102,
Bill Bagley,U.S House,1,Democrat,Sublette,480,
Dick Cheney,U.S House,1,Republican,Sweetwater,3741,
Bill Bagley,U.S House,1,Democrat,Sweetwater,5345,
Dick Cheney,U.S House,1,Republican,Teton,2583,
Bill Bagley,U.S House,1,Democrat,Teton,1084,
Dick Cheney,U.S House,1,Republican,Uinta,1497,
Bill Bagley,U.S House,1,Democrat,Uinta,1659,
Dick Cheney,U.S House,1,Republican,Washakie,2003,
Bill Bagley,U.S House,1,Democrat,Washakie,1110,
Dick Cheney,U.S House,1,Republican,Weston,1717,
Bill Bagley,U.S House,1,Democrat,Weston,685,
