candidate,office,district,party,county,votes,winner
Dick Cheney,U.S. House,1,Republican,Albany,7447,1
Jim Rogers,U.S House,1,Democrat,Albany,3973,
Dick Cheney,U.S House,1,Republican,Big Horn,3538,
Jim Rogers,U.S House,1,Democrat,Big Horn,1073,
Dick Cheney,U.S House,1,Republican,Campbell,5949,
Jim Rogers,U.S House,1,Democrat,Campbell,1595,
Dick Cheney,U.S House,1,Republican,Carbon,4728,
Jim Rogers,U.S House,1,Democrat,Carbon,2539,
Dick Cheney,U.S House,1,Republican,Converse,3151,
Jim Rogers,U.S House,1,Democrat,Converse,1057,
Dick Cheney,U.S House,1,Republican,Crook,1940,
Jim Rogers,U.S House,1,Democrat,Crook,444,
Dick Cheney,U.S House,1,Republican,Fremont,8862,
Jim Rogers,U.S House,1,Democrat,Fremont,3749,
Dick Cheney,U.S House,1,Republican,Goshen,3058,
Jim Rogers,U.S House,1,Democrat,Goshen,1489,
Dick Cheney,U.S House,1,Republican,Hot Springs,1781,
Jim Rogers,U.S House,1,Democrat,Hot Springs,685,
Dick Cheney,U.S House,1,Republican,Johnson,2403,
Jim Rogers,U.S House,1,Democrat,Johnson,565,
Dick Cheney,U.S House,1,Republican,Laramie,15738,
Jim Rogers,U.S House,1,Democrat,Laramie,10625,
Dick Cheney,U.S House,1,Republican,Lincoln,3224,
Jim Rogers,U.S House,1,Democrat,Lincoln,1294,
Dick Cheney,U.S House,1,Republican,Natrona,18696,
Jim Rogers,U.S House,1,Democrat,Natrona,7516,
Dick Cheney,U.S House,1,Republican,Niobrara,1086,
Jim Rogers,U.S House,1,Democrat,Niobrara,303,
Dick Cheney,U.S House,1,Republican,Park,6674,
Jim Rogers,U.S House,1,Democrat,Park,1895,
Dick Cheney,U.S House,1,Republican,Platte,2582,
Jim Rogers,U.S House,1,Democrat,Platte,1617,
Dick Cheney,U.S House,1,Republican,Sheridan,6723,
Jim Rogers,U.S House,1,Democrat,Sheridan,2948,
Dick Cheney,U.S House,1,Republican,Sublette,1631,
Jim Rogers,U.S House,1,Democrat,Sublette,403,
Dick Cheney,U.S House,1,Republican,Sweetwater,5936,
Jim Rogers,U.S House,1,Democrat,Sweetwater,5301,
Dick Cheney,U.S House,1,Republican,Teton,3811,
Jim Rogers,U.S House,1,Democrat,Teton,1186,
Dick Cheney,U.S House,1,Republican,Uinta,2561,
Jim Rogers,U.S House,1,Democrat,Uinta,1517,
Dick Cheney,U.S House,1,Republican,Washakie,2669,
Jim Rogers,U.S House,1,Democrat,Washakie,894,
Dick Cheney,U.S House,1,Republican,Weston,2173,
Jim Rogers,U.S House,1,Democrat,Weston,670,
