candidate,office,district,party,county,votes,winner
Charles Stough,State House,22,R,Lincoln,166,
Jim Roscoe,State House,22,D,Lincoln,326,
Write-Ins,State House,22,,Lincoln,0,
Charles Stough,State House,22,R,Sublette,2022,
Jim Roscoe,State House,22,D,Sublette,1216,
Write-Ins,State House,22,,Sublette,5,
Charles Stough,State House,22,R,Teton,542,
Jim Roscoe,State House,22,D,Teton,1307,
Write-Ins,State House,22,,Teton,3,
Charles Stough,State House,22,R,,2730,
Jim Roscoe,State House,22,D,,2849,TRUE
Write-Ins,State House,22,,,8,
