candidate,office,district,party,county,votes,winner
Dick Cheney,U.S. House,1,Republican,Albany,7213,1
Hugh B. McFadden Jr.,U.S House,1,Democrat,Albany,4905,
Craig Alan McCune,U.S House,1,Libertarian,Albany,240,
Dick Cheney,U.S House,1,Republican,Big Horn,4169,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Big Horn,773,
Craig Alan McCune,U.S House,1,Libertarian,Big Horn,88,
Dick Cheney,U.S House,1,Republican,Campbell,8470,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Campbell,1221,
Craig Alan McCune,U.S House,1,Libertarian,Campbell,226,
Dick Cheney,U.S House,1,Republican,Carbon,4954,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Carbon,2071,
Craig Alan McCune,U.S House,1,Libertarian,Carbon,136,
Dick Cheney,U.S House,1,Republican,Converse,3704,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Converse,821,
Craig Alan McCune,U.S House,1,Libertarian,Converse,76,
Dick Cheney,U.S House,1,Republican,Crook,2411,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Crook,337,
Craig Alan McCune,U.S House,1,Libertarian,Crook,22,
Dick Cheney,U.S House,1,Republican,Fremont,9834,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Fremont,2865,
Craig Alan McCune,U.S House,1,Libertarian,Fremont,303,
Dick Cheney,U.S House,1,Republican,Goshen,3936,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Goshen,1296,
Craig Alan McCune,U.S House,1,Libertarian,Goshen,52,
Dick Cheney,U.S House,1,Republican,Hot Springs,1843,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Hot Springs,415,
Craig Alan McCune,U.S House,1,Libertarian,Hot Springs,55,
Dick Cheney,U.S House,1,Republican,Johnson,2628,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Johnson,374,
Craig Alan McCune,U.S House,1,Libertarian,Johnson,77,
Dick Cheney,U.S House,1,Republican,Laramie,19537,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Laramie,9687,
Craig Alan McCune,U.S House,1,Libertarian,Laramie,755,
Dick Cheney,U.S House,1,Republican,Lincoln,3891,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Lincoln,1145,
Craig Alan McCune,U.S House,1,Libertarian,Lincoln,71,
Dick Cheney,U.S House,1,Republican,Natrona,20377,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Natrona,6361,
Craig Alan McCune,U.S House,1,Libertarian,Natrona,538,
Dick Cheney,U.S House,1,Republican,Niobrara,1172,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Niobrara,194,
Craig Alan McCune,U.S House,1,Libertarian,Niobrara,23,
Dick Cheney,U.S House,1,Republican,Park,8431,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Park,1553,
Craig Alan McCune,U.S House,1,Libertarian,Park,188,
Dick Cheney,U.S House,1,Republican,Platte,3028,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Platte,1043,
Craig Alan McCune,U.S House,1,Libertarian,Platte,94,
Dick Cheney,U.S House,1,Republican,Sheridan,8198,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Sheridan,2743,
Craig Alan McCune,U.S House,1,Libertarian,Sheridan,246,
Dick Cheney,U.S House,1,Republican,Sublette,2068,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Sublette,348,
Craig Alan McCune,U.S House,1,Libertarian,Sublette,33,
Dick Cheney,U.S House,1,Republican,Sweetwater,7951,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Sweetwater,4389,
Craig Alan McCune,U.S House,1,Libertarian,Sweetwater,326,
Dick Cheney,U.S House,1,Republican,Teton,4013,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Teton,1018,
Craig Alan McCune,U.S House,1,Libertarian,Teton,100,
Dick Cheney,U.S House,1,Republican,Uinta,4150,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Uinta,1276,
Craig Alan McCune,U.S House,1,Libertarian,Uinta,76,
Dick Cheney,U.S House,1,Republican,Washakie,3502,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Washakie,620,
Craig Alan McCune,U.S House,1,Libertarian,Washakie,52,
Dick Cheney,U.S House,1,Republican,Weston,2754,
Hugh B. McFadden Jr.,U.S House,1,Democrat,Weston,402,
Craig Alan McCune,U.S House,1,Libertarian,Weston,36,
