candidate,office,district,party,county,votes,winner
Dick Cheney,U.S. House,1,Republican,Albany,6159,1
Rick Gilmore,U.S House,1,Democrat,Albany,3871,
Dick Cheney,U.S House,1,Republican,Big Horn,3096,
Rick Gilmore,U.S House,1,Democrat,Big Horn,1020,
Dick Cheney,U.S House,1,Republican,Campbell,7115,
Rick Gilmore,U.S House,1,Democrat,Campbell,1517,
Dick Cheney,U.S House,1,Republican,Carbon,3801,
Rick Gilmore,U.S House,1,Democrat,Carbon,2295,
Dick Cheney,U.S House,1,Republican,Converse,3157,
Rick Gilmore,U.S House,1,Democrat,Converse,1057,
Dick Cheney,U.S House,1,Republican,Crook,1941,
Rick Gilmore,U.S House,1,Democrat,Crook,516,
Dick Cheney,U.S House,1,Republican,Fremont,7461,
Rick Gilmore,U.S House,1,Democrat,Fremont,3038,
Dick Cheney,U.S House,1,Republican,Goshen,3394,
Rick Gilmore,U.S House,1,Democrat,Goshen,1478,
Dick Cheney,U.S House,1,Republican,Hot Springs,1755,
Rick Gilmore,U.S House,1,Democrat,Hot Springs,610,
Dick Cheney,U.S House,1,Republican,Johnson,2268,
Rick Gilmore,U.S House,1,Democrat,Johnson,485,
Dick Cheney,U.S House,1,Republican,Laramie,14771,
Rick Gilmore,U.S House,1,Democrat,Laramie,9060,
Dick Cheney,U.S House,1,Republican,Lincoln,3152,
Rick Gilmore,U.S House,1,Democrat,Lincoln,1275,
Dick Cheney,U.S House,1,Republican,Natrona,16025,
Rick Gilmore,U.S House,1,Democrat,Natrona,7221,
Dick Cheney,U.S House,1,Republican,Niobrara,1099,
Rick Gilmore,U.S House,1,Democrat,Niobrara,252,
Dick Cheney,U.S House,1,Republican,Park,6913,
Rick Gilmore,U.S House,1,Democrat,Park,1878,
Dick Cheney,U.S House,1,Republican,Platte,2676,
Rick Gilmore,U.S House,1,Democrat,Platte,1314,
Dick Cheney,U.S House,1,Republican,Sheridan,6365,
Rick Gilmore,U.S House,1,Democrat,Sheridan,2941,
Dick Cheney,U.S House,1,Republican,Sublette,1950,
Rick Gilmore,U.S House,1,Democrat,Sublette,407,
Dick Cheney,U.S House,1,Republican,Sweetwater,6163,
Rick Gilmore,U.S House,1,Democrat,Sweetwater,4657,
Dick Cheney,U.S House,1,Republican,Teton,3370,
Rick Gilmore,U.S House,1,Democrat,Teton,1003,
Dick Cheney,U.S House,1,Republican,Uinta,3467,
Rick Gilmore,U.S House,1,Democrat,Uinta,1475,
Dick Cheney,U.S House,1,Republican,Washakie,2772,
Rick Gilmore,U.S House,1,Democrat,Washakie,812,
Dick Cheney,U.S House,1,Republican,Weston,2137,
Rick Gilmore,U.S House,1,Democrat,Weston,598,
